TSP instances (optimal),Algorithm,Min Cost,Avg Cost,Inaccuracy
eil76(538),"RL+GA, Method=q_learning_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",570,599,5.9
eil76(538),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",565,582,5.0
eil76(538),"RL+GA, Method=sarsa_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",569,584,5.8
eil76(538),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",564,577,4.8
eil76(538),"RL+GA, Method=sarsa_rl, Gamma=0.15, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",569,576,5.8
eil76(538),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",568,584,5.6
eil76(538),"RL+GA, Method=sarsa_rl, Gamma=0.3, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",571,582,6.1
eil76(538),"RL, Method=double_q_learning, Gamma=0.01, Reward=1, Epsilon=1",586,659,8.9
eil76(538),"RL, Method=double_q_learning, Gamma=0.15, Reward=1, Epsilon=1",605,671,12.5
eil76(538),"RL, Method=double_q_learning, Gamma=0.3, Reward=1, Epsilon=1",618,696,14.9
eil76(538),"RL, Method=q_learning, Gamma=0.01, Reward=1, Epsilon=1",586,659,8.9
eil76(538),"RL, Method=q_learning, Gamma=0.15, Reward=1, Epsilon=1",605,671,12.5
eil76(538),"RL, Method=q_learning, Gamma=0.3, Reward=1, Epsilon=1",618,696,14.9
eil76(538),"RL, Method=sarsa, Gamma=0.01, Reward=1, Epsilon=1",594,651,10.4
eil76(538),"RL, Method=sarsa, Gamma=0.15, Reward=1, Epsilon=1",589,661,9.5
eil76(538),"RL, Method=sarsa, Gamma=0.3, Reward=1, Epsilon=1",598,671,11.2
kroA100(21282),"GA, Elitist, Pop=100, Mut=0.01.",31195,37031,46.6
kroA100(21282),"GA, Roulette, Pop=100, Mut=0.01.",51172,62268,140.4
kroA100(21282),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",22890,23583,7.6
kroA100(21282),"RL+GA, Method=double_q_learning_rl, Gamma=0.01, Reward=1, Epsilon=1, Roulette, Pop=40, Mut=0.01.",22469,23283,5.6
kroA100(21282),"RL+GA, Method=double_q_learning_rl, Gamma=0.15, Reward=1, Epsilon=1, Elitist, Pop=40, Mut=0.01.",24610,27088,15.6
